,court_short_name,court_full_name,court_jurisdiction,jurisdiction
1594,Coshocton County Court of Common Pleas,Coshocton County Court of Common Pleas,ST,"Ohio, OH"
1595,Grand Traverse Band of Ottawa and Chippewa Indians Tribal Court,Grand Traverse Band of Ottawa and Chippewa Indians Tribal Court,TRA,"Michigan, MI"
1596,Hamilton County Judge's Court,Hamilton County Judge's Court,ST,"Tennessee, TN"
1597,"Josephine County Circuit Court, Oregon","Josephine County Circuit Court, Oregon",ST,"Oregon, OR"
1598,"Court of Appeals of Ohio, Third District, Van Wert County","Court of Appeals of Ohio, Third District, Van Wert County",ST,"Ohio, OH"
1599,Patrick County Circuit Court,Patrick County Circuit Court,ST,"Virginia, VA"
1600,"Muscogee County Superior Court, Ga.","Muscogee County Superior Court, Ga.",ST,"Georgia, GA"
1601,"Lee County Superior Court, Ga.","Lee County Superior Court, Ga.",ST,"Georgia, GA"
1602,Portage County Probate Court,Portage County Probate Court,ST,"Ohio, OH"
1603,"Court of Appeals of Ohio, Sixth District, Wood County","Court of Appeals of Ohio, Sixth District, Wood County",ST,"Ohio, OH"
1604,Fulton County Court,"New York County Court, Fulton County",ST,"New York, NY"
1605,Martin County Circuit Court,"Circuit Court of the 19th Judicial Circuit of Florida, Martin County",ST,"Florida, FL"
1606,Delaware County Court,"New York County Court, Delaware County",ST,"New York, NY"
1607,Elmsford Justice Court,Justice Court of Village of Elmsford,ST,"New York, NY"
1608,Auglaize County Municipal Court,Auglaize County Municipal Court,ST,"Ohio, OH"
1609,"Court of Appeals of Ohio, Seventh District, Harrison County","Court of Appeals of Ohio, Seventh District, Harrison County",ST,"Ohio, OH"
1610,Fort Peck Tribal Court,Fort Peck Tribal Court,TRT,"Montana, MT"
1611,United States Provisional Court for the State of Louisiana,United States Provisional Court for the State of Louisiana,FS,"Louisiana, LA"
1612,Greene Circuit Court,Greene Circuit Court,ST,"Indiana, IN"
1613,Gloucester County Circuit Court,Gloucester County Circuit Court,ST,"Virginia, VA"
1614,Atlantic County Surrogate's Court,Atlantic County Surrogate's Court,ST,"New Jersey, NJ"
1615,Ashtabula County Probate Court,Ashtabula County Probate Court,ST,"Ohio, OH"
1616,Sullivan County Court of Quarter Sessions,Sullivan County Court of Quarter Sessions,ST,"Pennsylvania, PA"
1617,St. Lawrence County Court,"New York County Court, St. Lawrence County",ST,"New York, NY"
1618,"Trumbull County Courts, Ohio","Trumbull County Courts, Ohio",ST,"Ohio, OH"
1619,General Court of Maryland,General Court of Maryland,SS,"Maryland, MD"
1620,Briarcliff Manor Justice Court,Justice Court of Village of Briarcliff Manor,ST,"New York, NY"
1621,Decisions of the Federal Communications Commission,Decisions of the Federal Communications Commission,C,"USA, Federal"
1622,Broward County Judge's Court,Broward County Judge's Court,ST,"Florida, FL"
1623,Gloversville City Court,Gloversville City Court,ST,"New York, NY"
1624,Bradford County Orphans' Court,"Pennsylvania Orphans' Court, Bradford County",ST,"Pennsylvania, PA"
1625,Juniata County Orphans' Court,"Pennsylvania Orphans' Court, Juniata County",ST,"Pennsylvania, PA"
1626,Cleveland Police Court,Cleveland Police Court,ST,"Ohio, OH"
1627,"Court of Appeals of Ohio, Fourth District, Scioto County","Court of Appeals of Ohio, Fourth District, Scioto County",ST,"Ohio, OH"
1628,Prince Edward County Circuit Court,Prince Edward County Circuit Court,ST,"Virginia, VA"
1629,South Carolina Admiralty Court,South Carolina Admiralty Court,SS,"South Carolina, SC"
1630,Dobbs Ferry Justice Court,Dobbs Ferry Justice Court,ST,"New York, NY"
1631,Licking County Juvenile Court,Licking County Juvenile Court,ST,"Ohio, OH"
1632,Perry County Probate Court,Perry County Probate Court,ST,"Alabama, AL"
1633,Garden City Police Court,Garden City Police Court,ST,"Kansas, KS"
1634,Newburgh Justice Court,Justice Court of Town of Newburgh,ST,"New York, NY"
1635,Putnam County Probate Court,Putnam County Probate Court,ST,"Georgia, GA"
1636,Rocky River Municipal Court,Rocky River Municipal Court,ST,"Ohio, OH"
1637,"Malheur County Circuit Court, Oregon","Malheur County Circuit Court, Oregon",ST,"Oregon, OR"
1638,Broward County Small Claims Court,Broward County Small Claims Court,ST,"Florida, FL"
1639,Alachua County Court,Alachua County Court,ST,"Florida, FL"
1640,Meigs County Probate Court,Meigs County Probate Court,ST,"Ohio, OH"
1641,Wayne County Municipal Court,Wayne County Municipal Court,ST,"Ohio, OH"
1642,Crawford County Municipal Court,Crawford County Municipal Court,ST,"Ohio, OH"
1643,"Court of Appeals of Ohio, Fourth District, Athens County","Court of Appeals of Ohio, Fourth District, Athens County",ST,"Ohio, OH"
1644,Massachusetts,Bankruptcy Appellate Panel of Massachusetts,FBP,"Massachusetts, MA"
1645,"New York Court of Sessions, Queens County","New York Court of Sessions, Queens County",ST,"New York, NY"
1646,Kingsbury Justice Court,Kingsbury Justice Court,ST,"Nevada, NV"
1647,Cheektowaga Justice Court,Cheektowaga Justice Court,ST,"New York, NY"
1648,Union County Orphans' Court,"Pennsylvania Orphans' Court, Union County",ST,"Pennsylvania, PA"
1649,Dinwiddie County Circuit Court,Dinwiddie County Circuit Court,ST,"Virginia, VA"
1650,"Michigan Superior Court, Detroit","Michigan Superior Court, Detroit",ST,"Michigan, MI"
1651,"California Court of Appeal, 6th District","California Court of Appeal, 6th District",SA,"California, CA"
1652,Ontario County Court,"New York County Court, Ontario County",ST,"New York, NY"
1653,New Hampshire Committee of the Privy Council,New Hampshire Committee of the Privy Council,SS,"New Hampshire, NH"
1654,Morgan Circuit Court,Morgan Circuit Court,ST,"Alabama, AL"
1655,Circuit Court of the 47th Circuit of Michigan,Circuit Court of the 47th Circuit of Michigan,ST,"Michigan, MI"
1656,"New York Supreme Court, Oswego County","New York Supreme Court, Oswego County",ST,"New York, NY"
1657,Schenectady City Court,Schenectady City Court,ST,"New York, NY"
1658,Warren County Orphans' Court,"Pennsylvania Orphans' Court, Warren County",ST,"Pennsylvania, PA"
1659,Lorain Municipal Court,Lorain Municipal Court,ST,"Ohio, OH"
1660,"Court of Appeals of Ohio, Eleventh District, Lake County","Court of Appeals of Ohio, Eleventh District, Lake County",ST,"Ohio, OH"
1661,"Court of Appeals of Ohio, Ninth District, Medina County","Court of Appeals of Ohio, Ninth District, Medina County",ST,"Ohio, OH"
1662,"Court of Appeals of Ohio, Third District, Marion County","Court of Appeals of Ohio, Third District, Marion County",ST,"Ohio, OH"
1663,Clermont County Probate Court,Clermont County Probate Court,ST,"Ohio, OH"
1664,Circuit Court of the 15th Circuit of Michigan,Circuit Court of the 15th Circuit of Michigan,ST,"Michigan, MI"
1665,Frankfort Justice Court,Frankfort Justice Court,ST,"New York, NY"
1666,Mount Kisco Police Court,Mount Kisco Police Court,ST,"New York, NY"
1667,Chenango Justice Court,Chenango Justice Court,ST,"New York, NY"
1668,"Klamath County Circuit Court, Oregon","Klamath County Circuit Court, Oregon",ST,"Oregon, OR"
1669,Madison County Probate Court,Madison County Probate Court,ST,"Alabama, AL"
1670,Cape May County Superior Court,Cape May County Superior Court,ST,"New Jersey, NJ"
1671,Manatee County Circuit Court,"Circuit Court of the 12th Judicial Circuit of Florida, Manatee County",ST,"Florida, FL"
1672,Wayne County Probate Court,Wayne County Probate Court,ST,"Michigan, MI"
1673,Rappahannock County Circuit Court,Rappahannock County Circuit Court,ST,"Virginia, VA"
1674,Circuit Court of the 54th Circuit of Michigan,Circuit Court of the 54th Circuit of Michigan,ST,"Michigan, MI"
1675,Circuit Court of the 39th Circuit of Michigan,Circuit Court of the 39th Circuit of Michigan,ST,"Michigan, MI"
1676,Circuit Court of the 45th Circuit of Michigan,Circuit Court of the 45th Circuit of Michigan,ST,"Michigan, MI"
1677,Trinity District Court,Trinity District Court,ST,"California, CA"
1678,Sullivan County Court,"New York County Court, Sullivan County",ST,"New York, NY"
1679,Woodstock Justice Court,Justice Court of Village of Woodstock,ST,"New York, NY"
1680,Red Hook Justice Court,Justice Court of Village of Red Hook,ST,"New York, NY"
1681,Mohegan Tribal Court of Appeals,Mohegan Tribal Court of Appeals,TRA,"Connecticut, CT"
1682,"New York Supreme Court, Oneida County","New York Supreme Court, Oneida County",ST,"New York, NY"
1683,Indian River County Court,Indian River County Court,ST,"Florida, FL"
1684,Bronxville Justice Court,Justice Court of Village of Bronxville,ST,"New York, NY"
1685,Penfield Justice Court,Penfield Justice Court,ST,"New York, NY"
1686,Springfield Municipal Court,Springfield Municipal Court,ST,"The name Springfield Municipal Court is too generic and not tied to a single state. There are courts with this name in various states like Ohio, Oregon, New Jersey, Missouri, etc. Please provide additional information."
1687,Hoboken City Recorder's Court.,Hoboken City Recorder's Court.,SS,"New Jersey, NJ"
1688,Cape May County Family Court,Cape May County Family Court,ST,"New Jersey, NJ"
1689,Chester County Court of Oyer and Terminer,Chester County Court of Oyer and Terminer,ST,"Pennsylvania, PA"
1690,Trumbull County Probate Court,Trumbull County Probate Court,ST,"Ohio, OH"
1691,United States Judicial Conference Committee on Judicial Conduct and Disability,United States Judicial Conference Committee on Judicial Conduct and Disability,FS,"USA, Federal"
1692,Shasta District Court,Shasta District Court,ST,"California, CA"
1693,"New York Court of Session, Chautauqua County","New York Court of Session, Chautauqua County",ST,"New York, NY"
1694,Broome County Court,"New York County Court, Broome County",ST,"New York, NY"
1695,Irondequoit Justice Court,Justice Court of Town of Irondequoit,ST,"New York, NY"
1696,Yorktown Justice Court,Justice Court of Town of Yorktown,ST,"New York, NY"
1697,Sussex County Municipal Court,Sussex County Municipal Court,ST,"New Jersey, NJ"
1698,Girard Municipal Court,Girard Municipal Court,ST,"Ohio, OH"
1699,"Court of Appeals of Ohio, Fourth District, Jackson County","Court of Appeals of Ohio, Fourth District, Jackson County",ST,"Ohio, OH"
1700,Teller County District Court,Teller County District Court,ST,"Colorado, CO"
1701,Canton Justice Court,Canton Justice Court,ST,"Mississippi, MS"
1702,"New York Supreme Court, Saratoga County","New York Supreme Court, Saratoga County",ST,"New York, NY"
1703,Mercer Circuit Court,Mercer Circuit Court,ST,"Kentucky, KY"
1704,Flagler County Circuit Court,"Circuit Court of the 7th Judicial Circuit of Florida, Flagler County",ST,"Florida, FL"
1705,"Burlington County Circuit Court, N.J.","Burlington County Circuit Court, N.J.",SA,"New Jersey, NJ"
1706,Middlesex County Surrogate's Court,Middlesex County Surrogate's Court,ST,"New Jersey, NJ"
1707,Erie County Probate Court,Erie County Probate Court,ST,"Ohio, OH"
1708,"Commissioner of Education, N.J.","Commissioner of Education, N.J.",SS,"New Jersey, NJ"
1709,Schuyler Justice Court,Schuyler Justice Court,ST,"New York, NY"
1710,Licking County Probate Court,Licking County Probate Court,ST,"Ohio, OH"
1711,"Court of Appeals of Ohio, Fifth District, Fairfield County","Court of Appeals of Ohio, Fifth District, Fairfield County",ST,"Ohio, OH"
1712,Mathews County Circuit Court,Mathews County Circuit Court,ST,"Virginia, VA"
1713,Gloucester County Superior Court,Gloucester County Superior Court,ST,"New Jersey, NJ"
1714,"Court of Appeals of Ohio, Seventh District, Jefferson County","Court of Appeals of Ohio, Seventh District, Jefferson County",ST,"Ohio, OH"
1715,"New York Supreme Court, Tioga County","New York Supreme Court, Tioga County",ST,"New York, NY"
1716,Circuit Court of the 43rd Circuit of Michigan,Circuit Court of the 43rd Circuit of Michigan,ST,"Michigan, MI"
1717,Elma Justice Court,Elma Justice Court,ST,"New York, NY"
1718,"Somerset County Circuit Court, N.J.","Somerset County Circuit Court, N.J.",SA,"New Jersey, NJ"
1719,D. Texas,"District Court, D. Texas",FD,"Texas, TX"
1720,Taghkanic Justice Court,Taghkanic Justice Court,ST,"New York, NY"
1721,Holmes County Court,Holmes County Court,ST,"Mississippi, MS"
1722,"Court of Appeals of Ohio, Sixth District, Huron County","Court of Appeals of Ohio, Sixth District, Huron County",ST,"Ohio, OH"
1723,Fulton County Probate Court,Fulton County Probate Court,ST,"Georgia, GA"
1724,Washington County Probate Court,Washington County Probate Court,ST,"Multiple States, MS"
1725,Bedford County Court of Quarter Sessions,Bedford County Court of Quarter Sessions,ST,"Pennsylvania, PA"
1726,Camillus Justice Court,Camillus Justice Court,ST,"New York, NY"
1727,Amsterdam City Court,Amsterdam City Court,ST,"New York, NY"
1728,Wyandotte County Circuit Court,Wyandotte County Circuit Court,ST,"Kansas, KS"
1729,White Earth Band of Chippewa Tribal Court,White Earth Band of Chippewa Tribal Court,TRT,"Minnesota, MN"
1730,Yonkers Justice Court,Yonkers Justice Court,ST,"New York, NY"
1731,Surfside Municipal Court,Surfside Municipal Court,ST,"Texas, TX"
1732,Mongtomery County Orphans' Court,"Pennsylvania Orphans' Court, Mongtomery County",ST,"Pennsylvania, PA"
1733,"Brown County Courts, Ohio","Brown County Courts, Ohio",ST,"Ohio, OH"
1734,Cameron County Court of Quarter Sessions,Cameron County Court of Quarter Sessions,ST,"Pennsylvania, PA"
1735,Sunder County Court of Common Pleas,"Pennsylvania Court of Common Pleas, Sunder County",ST,"Pennsylvania, PA"
1736,Barberton Municipal Court,Barberton Municipal Court,ST,"Ohio, OH"
1737,Columbus Police Court,Columbus Police Court,ST,"Ohio, OH"
1738,Rhinebeck Justice Court,Justice Court of Town of Rhinebeck,ST,"New York, NY"
1739,Mifflin County Orphans' Court,"Pennsylvania Orphans' Court, Mifflin County",ST,"Pennsylvania, PA"
1740,New Jersey Family Court,New Jersey Family Court,ST,"New Jersey, NJ"
1741,Hamilton County Juvenile Court,Hamilton County Juvenile Court,ST,"Ohio, OH"
1742,Chardon Municipal Court,Chardon Municipal Court,ST,"Ohio, OH"
1743,"Winchester Corporation Court, Va.","Winchester Corporation Court, Va.",ST,"Virginia, VA"
1744,Judicial Council of The Fifth Circuit,Judicial Council of The Fifth Circuit,FS,"USA, Federal"
1745,"Talbot County Superior Court, Ga.","Talbot County Superior Court, Ga.",ST,"Georgia, GA"
1746,Lattingtown Village Court,Lattingtown Village Court,ST,"New York, NY"
1747,Pennsylvania Department of Education,Pennsylvania Department of Education,SS,"Pennsylvania, PA"
1748,Sidney Municipal Court,Sidney Municipal Court,ST,"Ohio, OH"
1749,Hocking County Municipal Court,Hocking County Municipal Court,ST,"Ohio, OH"
1750,Detroit Recorder's Court,Detroit Recorder's Court,SS,"Michigan, MI"
1751,Lewis County Court,"New York County Court, Lewis County",ST,"New York, NY"
1752,Byram Township Municipal Court,Byram Township Municipal Court,ST,"New Jersey, NJ"
1753,Ohio State Racing Commission,Ohio State Racing Commission,SS,"Ohio, OH"
1754,Euclid Municipal Court,Euclid Municipal Court,ST,"Ohio, OH"
1755,Dickenson County Circuit Court,Dickenson County Circuit Court,ST,"Virginia, VA"
1756,Hyde Park Justice Court,Hyde Park Justice Court,ST,"New York, NY"
1757,Berea Municipal Court,Berea Municipal Court,ST,"Ohio, OH"
1758,Knox County Probate Court,Knox County Probate Court,ST,"Maine, ME"
1759,Pinellas County Judge's Court,Pinellas County Judge's Court,ST,"Florida, FL"
1760,Herkimer Justice Court,Herkimer Justice Court,ST,"New York, NY"
1761,Middlesex County Family Court,Middlesex County Family Court,ST,"New Jersey, NJ"
1762,Huron County Juvenile Court,Huron County Juvenile Court,ST,"Ohio, OH"
1763,Warren County Municipal Court,Warren County Municipal Court,ST,"Ohio, OH"
1764,York County Court of Oyer and Terminer,York County Court of Oyer and Terminer,ST,"Pennsylvania, PA"
1765,Columbia County Circuit Court,"Circuit Court of the 3rd Judicial Circuit of Florida, Columbia County",ST,"Florida, FL"
1766,Borough of Princeton Municipal Court,Borough of Princeton Municipal Court,ST,"New Jersey, NJ"
1767,Wayne County Juvenile Court,Wayne County Juvenile Court,ST,"Michigan, MI"
1768,"Court of Appeals of Ohio, Sixth District, Ottawa County","Court of Appeals of Ohio, Sixth District, Ottawa County",ST,"Ohio, OH"
1769,Vinton County Circuit Court,Vinton County Circuit Court,ST,"Ohio, OH"
1770,House of Lords (UK),House of Lords (UK),I,This court is not in the US.
1771,Oberlin Municipal Court,Oberlin Municipal Court,ST,"Ohio, OH"
1772,"Benton County Circuit Court, Oregon","Benton County Circuit Court, Oregon",ST,"Oregon, OR"
1773,Union County Circuit Court,"Circuit Court of the 8th Judicial Circuit of Florida, Union County",ST,"Florida, FL"
1774,Haverstraw Justice Court,Haverstraw Justice Court,ST,"New York, NY"
1775,Cuyahoga Falls Municipal Court,Cuyahoga Falls Municipal Court,ST,"Ohio, OH"
1776,Scioto County Probate Court,Scioto County Probate Court,ST,"Ohio, OH"
1777,Morrow County Court of Common Pleas,Morrow County Court of Common Pleas,ST,"Ohio, OH"
1778,Judicial Council of The Second Circuit,Judicial Council of The Second Circuit,FS,"USA, Federal"
1779,"Hancock County Superior Court, Ga.","Hancock County Superior Court, Ga.",ST,"Georgia, GA"
1780,Placer District Court,"Placer District Court, California",ST,"California, CA"
1781,Tascarawas County Court of Common Pleas,Tascarawas County Court of Common Pleas,ST,"Ohio, OH"
1782,"Court of Appeals of Ohio, Fifth District, Muskingum County","Court of Appeals of Ohio, Fifth District, Muskingum County",ST,"Ohio, OH"
1783,York County Poquoson County Circuit Court,York County Poquoson County Circuit Court,ST,"Virginia, VA"
1784,Newton Falls Municipal Court,Newton Falls Municipal Court,ST,"Ohio, OH"
1785,Waynesboro County Circuit Court,Waynesboro County Circuit Court,ST,The court name does not provide sufficient information to determine its specific location within the United States. There are multiple cities named Waynesboro across various states.
1786,Swinomish Tribal Court of Appeals,Swinomish Tribal Court of Appeals,TRA,"Washington, WA"
1787,"DeKalb County Superior Court, Ga.","DeKalb County Superior Court, Ga.",ST,"Georgia, GA"
1788,New Paltz Justice Court,New Paltz Justice Court,ST,"New York, NY"
1789,Carbon County Orphans' Court,"Pennsylvania Orphans' Court, Carbon County",ST,"Pennsylvania, PA"
1790,Mercer County Probate Court,Mercer County Probate Court,ST,"Ohio, OH"
1791,"Court of Appeals of Ohio, Twelfth District, Warren County","Court of Appeals of Ohio, Twelfth District, Warren County",ST,"Ohio, OH"
1792,"Liberty County Superior Court, Ga.","Liberty County Superior Court, Ga.",ST,"Georgia, GA"
1793,State of Florida Department of Revenue,State of Florida Department of Revenue,SS,"Florida, FL"
1794,"New York Court of Sessions, Rockland County","New York Court of Sessions, Rockland County",ST,"New York, NY"
1795,Millerton Village Court,Millerton Village Court,ST,"New York, NY"
1796,Clarion County Orphans' Court,"Pennsylvania Orphans' Court, Clarion County",ST,"Pennsylvania, PA"
1797,Circuit Court of the 51st Circuit of Michigan,Circuit Court of the 51st Circuit of Michigan,ST,"Michigan, MI"
1798,Jacksonville Civil Service Board,Jacksonville Civil Service Board,SS,"Alabama, AL"
1799,"New York Circuit Court, Oneida County","New York Circuit Court, Oneida County",ST,"New York, NY"
1800,Onondaga Town Court,Onondaga Town Court,ST,"New York, NY"
1801,Portsmouth Municipal Court,Portsmouth Municipal Court,ST,"Ohio, OH"
1802,Venango County Court of Quarter Sessions,Venango County Court of Quarter Sessions,ST,"Pennsylvania, PA"
1803,"Massachusetts Superior Court, Barnstable County","Massachusetts Superior Court, Barnstable County",ST,"Massachusetts, MA"
1804,Somerset County Family Court,Somerset County Family Court,ST,"New Jersey, NJ"
1805,"Court of Appeals of Ohio, Fourth District, Pike County","Court of Appeals of Ohio, Fourth District, Pike County",ST,"Ohio, OH"
1806,Circuit Court of the 16th Circuit of Michigan,Circuit Court of the 16th Circuit of Michigan,ST,"Michigan, MI"
1807,Court of General Sessions of Delaware,Court of General Sessions of The Peace And Jail Delivery of Delaware,ST,"Delaware, DE"
1808,"Sumter County Superior Court, Ga.","Sumter County Superior Court, Ga.",ST,"Georgia, GA"
1809,Montana Tax Appeal Board,Montana Tax Appeal Board,SS,"Montana, MT"
1810,Suwannee County Circuit Court,"Circuit Court of the 3rd Judicial Circuit of Florida, Suwannee County",ST,"Florida, FL"
1811,"Walton County Superior Court, Ga.","Walton County Superior Court, Ga.",ST,"Georgia, GA"
1812,Montour County Orphans' Court,"Pennsylvania Orphans' Court, Montour County",ST,"Pennsylvania, PA"
1813,Venango County Orphans' Court,"Pennsylvania Orphans' Court, Venango County",ST,"Pennsylvania, PA"
1814,Lancaster County Court of Oyer and Terminer,Lancaster County Court of Oyer and Terminer,ST,"Pennsylvania, PA"
1815,"Court of Appeals of Ohio, Fourth District, Vinton County","Court of Appeals of Ohio, Fourth District, Vinton County",ST,"Ohio, OH"
1816,"Lake County Circuit Court, Oregon","Lake County Circuit Court, Oregon",ST,"Oregon, OR"
1817,Alachua County Circuit Court,"Circuit Court of the 8th Judicial Circuit of Florida, Alachua County",ST,"Florida, FL"
1818,Geneseo Justice Court,Geneseo Justice Court,ST,"New York, NY"
1819,Orangetown Justice Court,Orangetown Justice Court,ST,"New York, NY"
1820,Cumberland County Court of Oyer and Terminer,Cumberland County Court of Oyer and Terminer,ST,"Pennsylvania, PA"
1821,Hendry County Circuit Court,"Circuit Court of the 20th Judicial Circuit of Florida, Hendry County",ST,"Florida, FL"
1822,Justice Court of Town of Bedford,Justice Court of Town of Bedford,ST,"New York, NY"
1823,"New York County Court, Onieda County","New York County Court, Onieda County",ST,"New York, NY"
1824,Fulton County Court of Oyer and Terminer,Fulton County Court of Oyer and Terminer,ST,"Georgia, GA"
1825,"Court of Appeals of Ohio, Eleventh District, Geauga County","Court of Appeals of Ohio, Eleventh District, Geauga County",ST,"Ohio, OH"
1826,Floyd County Circuit Court,Floyd County Circuit Court,ST,"Kentucky, KY"
1827,Mecklenburg County Circuit Court,Mecklenburg County Circuit Court,ST,"North Carolina, NC"
1828,Foreign Intelligence Surveillance Court of Review,Foreign Intelligence Surveillance Court of Review,FS,"USA, Federal"
1829,Municipal Courts of Ohio,Municipal Courts of Ohio,ST,"Ohio, OH"
1830,Trumbull County Municipal Court,Trumbull County Municipal Court,ST,"Ohio, OH"
1831,Allegany County Court,"New York County Court, Allegany County",ST,"New York, NY"
1832,East Rochester Justice Court,East Rochester Justice Court,ST,"New York, NY"
1833,Depew Justice Court,Depew Justice Court,ST,"New York, NY"
1834,DeWitt Justice Court,DeWitt Justice Court,ST,"New York, NY"
1835,Clifton Park Justice Court,Clifton Park Justice Court,ST,"New York, NY"
1836,Noble Circuit Court,Noble Circuit Court,ST,"Indiana, IN"
1837,Allen County Juvenile Court,Allen County Juvenile Court,ST,"Ohio, OH"
1838,Harrison County Probate Court,Harrison County Probate Court,ST,"Mississippi, MS"
1839,Hancock County Probate Court,Hancock County Probate Court,ST,"Maine, ME"
1840,Ashland Municipal Court,Ashland Municipal Court,ST,"Oregon, OR"
1841,Upper Sandusky Municipal Court,Upper Sandusky Municipal Court,ST,"Ohio, OH"
1842,Henry County Probate Court,Henry County Probate Court,ST,"Georgia, GA"
1843,Larimer County District Court,Larimer County District Court,ST,"Colorado, CO"
1844,Mansfield Municipal Court,Mansfield Municipal Court,ST,"Ohio, OH"
1845,"Washington County Superior Court, Ga.","Washington County Superior Court, Ga.",ST,"Georgia, GA"
1846,Yates County Court,"New York County Court, Yates County",ST,"New York, NY"
1847,Van Wert County Probate Court,Van Wert County Probate Court,ST,"Ohio, OH"
1848,Aurora Justice Court,Aurora Justice Court,ST,"Nevada, NV"
1849,New Jersey Special Statutory Court,New Jersey Special Statutory Court,SS,"New Jersey, NJ"
1850,Circuit Court of the 1st Circuit of Michigan,Circuit Court of the 1st Circuit of Michigan,ST,"Michigan, MI"
1851,"Oyer and Terminer, New York County","Oyer and Terminer, New York County",ST,"New York, NY"
1852,Pleasant Valley Justice Court,Pleasant Valley Justice Court,ST,"New York, NY"
1853,"New York Court of Sessions, Genesee County","New York Court of Sessions, Genesee County",ST,"New York, NY"
1854,Massena City Police Court,Massena City Police Court,ST,"New York, NY"
1855,Tioga County Orphans' Court,"Pennsylvania Orphans' Court, Tioga County",ST,"Pennsylvania, PA"
1856,Perrysburg Municipal Court,Perrysburg Municipal Court,ST,"Ohio, OH"
1857,Jefferson Circuit Court,Jefferson Circuit Court,ST,"Kentucky, KY"
1858,"Court of Appeals of Ohio, Ninth District, Wayne County","Court of Appeals of Ohio, Ninth District, Wayne County",ST,"Ohio, OH"
1859,Clarke County Probate Court,Clarke County Probate Court,ST,"Georgia, GA"
1860,"Linn County Circuit Court, Oregon","Linn County Circuit Court, Oregon",ST,"Oregon, OR"
1861,"Court of Appeals of Ohio, Fourth District, Highland County","Court of Appeals of Ohio, Fourth District, Highland County",ST,"Ohio, OH"
1862,Burlington County Superior Court,Burlington County Superior Court,ST,"New Jersey, NJ"
1863,Walton County Circuit Court,"Circuit Court of the 1st Judicial Circuit of Florida, Walton County",ST,"Florida, FL"
1864,Potter County Court of Quarter Sessions,Potter County Court of Quarter Sessions,ST,"Pennsylvania, PA"
1865,Pennsylvania Department of Public Welfare,Pennsylvania Department of Public Welfare,SS,"Pennsylvania, PA"
1866,Boss County Court of Common Pleas,Boss County Court of Common Pleas,ST,"The court name does not appear to correspond to any known U.S. court, either at a state or federal level."
1867,New Kent County Circuit Court,New Kent County Circuit Court,ST,"Virginia, VA"
1868,"Muskingum County Court, Ohio","Muskingum County Court, Ohio",ST,"Ohio, OH"
1869,Leech Lake Band of Ojibwe Tribal Court,Leech Lake Band of Ojibwe Tribal Court,TRT,"Minnesota, MN"
1870,Cape May County Surrogate's Court,Cape May County Surrogate's Court,ST,"New Jersey, NJ"
1871,Bedford Municipal Court,Bedford Municipal Court,ST,"Ohio, OH"
1872,Greene County Court,"New York County Court, Greene County",ST,"New York, NY"
1873,"Oyer and Terminer, Washington County","Oyer and Terminer, Washington County",ST,"Pennsylvania, PA"
1874,Middletown Municipal Court,Middletown Municipal Court,ST,"Ohio, OH"
1875,Mahoning County Probate Court,Mahoning County Probate Court,ST,"Ohio, OH"
1876,Clarke County Court of Common Pleas,Clarke County Court of Common Pleas,ST,"Mississippi, MS"
1877,Circuit Court of the 27th Circuit of Michigan,Circuit Court of the 27th Circuit of Michigan,ST,"Michigan, MI"
1878,"New York Court of Sessions, Orange County","New York Court of Sessions, Orange County",ST,"New York, NY"
1879,Niagara Falls City Court,Niagara Falls City Court,ST,"New York, NY"
1880,Cortland City Court,Cortland City Court,ST,"New York, NY"
1881,Greene County Court of Oyer and Terminer,Greene County Court of Oyer and Terminer,ST,"New York, NY"
1882,Clarion County Court of Oyer and Terminer,Clarion County Court of Oyer and Terminer,ST,"Pennsylvania, PA"
1883,"Court of Appeals of Ohio, Fifth District, Tuscarawas County","Court of Appeals of Ohio, Fifth District, Tuscarawas County",ST,"Ohio, OH"
1884,"Court of Appeals of Ohio, Second District, Champaign County","Court of Appeals of Ohio, Second District, Champaign County",ST,"Ohio, OH"
1885,Suffern Justice Court,Justice Court of Village of Suffern,ST,"New York, NY"
1886,"New York Supreme Court, Cayuga County","New York Supreme Court, Cayuga County",ST,"New York, NY"
1887,Shoshone and Arapaho Tribal Court,Shoshone and Arapaho Tribal Court,TRT,"Wyoming, WY"
1888,LaGrange Justice Court,LaGrange Justice Court,ST,"New York, NY"
1889,New Philadelphia Municipal Court,New Philadelphia Municipal Court,ST,"Ohio, OH"
1890,"Court of Appeals of Ohio, Twelfth District, Fayette County","Court of Appeals of Ohio, Twelfth District, Fayette County",ST,"Ohio, OH"
1891,Fremont County District Court,Fremont County District Court,ST,"Wyoming, WY"
1892,"Union County Circuit Court, Oregon","Union County Circuit Court, Oregon",ST,"Oregon, OR"
1893,Perry County Court of Oyer and Terminer,Perry County Court of Oyer and Terminer,ST,"Pennsylvania, PA"
1894,Mercer County Court of Oyer and Terminer,Mercer County Court of Oyer and Terminer,ST,"Pennsylvania, PA"
1895,"Pike County Court, Ohio","Pike County Court, Ohio",ST,"Ohio, OH"
1896,Spring City Police Court,Spring City Police Court,ST,"Utah, UT"
1897,Carmel Justice Court,Justice Court of Town of Carmel,ST,"New York, NY"
1898,"Court of Appeals of Ohio, Fifth District, Morrow County","Court of Appeals of Ohio, Fifth District, Morrow County",ST,"Ohio, OH"
