,court_short_name,court_full_name,court_jurisdiction,jurisdiction
539,Tennessee Court of Workers' Comp. Claims,Tennessee Court of Workers' Compensation Claims,SS,"Tennessee, TN"
540,Miami-Dade County Circuit Court,"Circuit Court of the 11th Judicial Circuit of Florida, Miami-Dade County",ST,"Florida, FL"
541,Palm Beach County Judge's Court,Palm Beach County Judge's Court,ST,"Florida, FL"
542,Palm Beach County Juvenile and Domestic Relations Court,Palm Beach County Juvenile and Domestic Relations Court,ST,"Florida, FL"
543,Florida Circuit Courts,Circuit Court for the Judicial Circuits of Florida,ST,"Florida, FL"
544,Orange County Court,Orange County Court,ST,"California, CA"
545,Broward County Court,Broward County Court,ST,"Florida, FL"
546,Volusia County Court,Volusia County Court,ST,"Florida, FL"
547,Florida Public Service Commission,Florida Public Service Commission,SS,"Florida, FL"
548,State of Florida Division of Administrative Hearings,State of Florida Division of Administrative Hearings,SS,"Florida, FL"
549,Delaware Family Court,Delaware Family Court,SS,"Delaware, DE"
550,Texas Special Court of Review,Texas Special Court of Review,SS,"Texas, TX"
551,Court Of Appeals Of Indian Territory,Court Of Appeals Of Indian Territory,FS,"USA, Federal"
552,Oklahoma Judicial Ethics Advisory Panel,Oklahoma Judicial Ethics Advisory Panel,SS,"Oklahoma, OK"
553,Superior Court of New York,The Superior Court of the City of New York and Buffalo,ST,"New York, NY"
554,California Superior Court,California Superior Court,ST,"California, CA"
555,Court Of Oyer And Terminer New York,Court Of Oyer And Terminer New York,SA,"New York, NY"
556,Board of Immigration Appeals,Board of Immigration Appeals,FS,"USA, Federal"
557,Office of Legal Counsel,Department of Justice Office of Legal Counsel,FS,"USA, Federal"
558,Cal. District Court,California District Court,ST,"California, CA"
559,Saratoga Chancery Court,Saratoga Chancery Court,SS,"New York, NY"
560,New York Court of General Session of the Peace,New York Court of General Session of the Peace,ST,"New York, NY"
561,New York Surrogate's Court,New York Surrogate's Court,SS,"New York, NY"
562,Ulster County Court,"New York County Court, Ulster County",ST,"New York, NY"
563,New York County Courts,New York County Courts,ST,"New York, NY"
564,New York State Court of Claims,New York Court of Claims,SS,"New York, NY"
565,Clinton County Court,"New York County Court, Clinton County",ST,"New York, NY"
566,New York Court of Special Session,New York Court of Special Session,ST,"New York, NY"
567,New York City Magistrates' Court,New York City Magistrates' Court,ST,"New York, NY"
568,Albany City Court,Albany City Court,ST,"New York, NY"
569,Nassau County District Court,Nassau County District Court,ST,"New York, NY"
570,New York District Court,New York District Court,ST,"New York, NY"
571,Civil Court of the City of New York,Civil Court of the City of New York,SS,"New York, NY"
572,Long Beach City Court,Long Beach City Court,ST,"New York, NY"
573,Suffolk County District Court,Suffolk County District Court,ST,"New York, NY"
574,Rochester City Court,Rochester City Court,ST,"New York, NY"
575,Syracuse City Court,Syracuse City Court,ST,"New York, NY"
576,New York Family Court,New York Family Court,SS,"New York, NY"
577,Buffalo City Court,Buffalo City Court,ST,"New York, NY"
578,White Plains City Court,White Plains City Court,ST,"New York, NY"
579,Mount Vernon City Court,Mount Vernon City Court,ST,"New York, NY"
580,New York Marine Court,New York Marine Court,SS,"New York, NY"
581,New York State Assembly,New York State Assembly,SS,"New York, NY"
582,Massapequa Park Justice Court,Massapequa Park Justice Court,ST,"New York, NY"
583,Greece Justice Court,Greece Justice Court,ST,"New York, NY"
584,Criminal Court of the City of New York,Criminal Court of the City of New York,SS,"New York, NY"
585,Philadelphia County Court of Common Pleas,"Pennsylvania Court of Common Pleas, Philadelphia County",ST,"Pennsylvania, PA"
586,Schuylkill County Orphans' Court,"Pennsylvania Orphans' Court, Schuylkill County",ST,"Pennsylvania, PA"
587,Beaver County Court of Common Pleas,"Pennsylvania Court of Common Pleas, Beaver County",ST,"Pennsylvania, PA"
588,Clearfield County Orphans' Court,"Pennsylvania Orphans' Court, Clearfield County",ST,"Pennsylvania, PA"
589,Lancaster County Court of Common Pleas,"Pennsylvania Court of Common Pleas, Lancaster County",ST,"Pennsylvania, PA"
590,Northampton County Court of Common Pleas,"Pennsylvania Court of Common Pleas, Northampton County",ST,"Pennsylvania, PA"
591,Pennsylvania Department of Justice,Pennsylvania Department of Justice,FS,"Pennsylvania, PA"
592,Philadelphia County Orphans' Court,"Pennsylvania Orphans' Court, Philadelphia County",ST,"Pennsylvania, PA"
593,Westmoreland County Court of Common Pleas,"Pennsylvania Court of Common Pleas, Westmoreland County",ST,"Pennsylvania, PA"
594,Lackawanna County Court of Common Pleas,"Pennsylvania Court of Common Pleas, Lackawanna County",ST,"Pennsylvania, PA"
595,Lehigh County Orphans' Court,"Pennsylvania Orphans' Court, Lehigh County",ST,"Pennsylvania, PA"
596,Erie County Orphans' Court,"Pennsylvania Orphans' Court, Erie County",ST,"Pennsylvania, PA"
597,Philadelphia County Municipal Court,"Pennylvania Municipal Court, Philadelphia County",ST,"Pennsylvania, PA"
598,Lancaster County Orphans' Court,"Pennsylvania Orphans' Court, Lancaster County",ST,"Pennsylvania, PA"
599,Dauphin County Court of Common Pleas,"Pennsylvania Court of Common Pleas, Dauphin County",ST,"Pennsylvania, PA"
600,Schuylkill County Court of Common Pleas,"Pennsylvania Court of Common Pleas, Schuylkill County",ST,"Pennsylvania, PA"
601,Luzerne County Court of Common Pleas,"Pennsylvania Court of Common Pleas, Luzerne County",ST,"Pennsylvania, PA"
602,Lehigh County Court of Common Pleas,"Pennsylvania Court of Common Pleas, Lehigh County",ST,"Pennsylvania, PA"
603,Bucks County Court of Common Pleas,"Pennsylvania Court of Common Pleas, Bucks County",ST,"Pennsylvania, PA"
604,York County Court of Common Pleas,"Pennsylvania Court of Common Pleas, York County",ST,"Pennsylvania, PA"
605,Clarion County Court of Common Pleas,"Pennsylvania Court of Common Pleas, Clarion County",ST,"Pennsylvania, PA"
606,Wyoming County Court of Common Pleas,"Pennsylvania Court of Common Pleas, Wyoming County",ST,"Pennsylvania, PA"
